pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,92,56,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,95,56,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,51,95,56,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,92,55,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,93,55,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,49,95,55,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,48,93,56,524,53,55,54,11 Jun 2021
